Restaurant,Review,Real,Reviewer,F1-AWL,F2-PAU,F3-ANP,F4-ASL,F5-NCL,F6-NWO,F7-NVB,F8-NAJ,F9-NPV,F10-EMO,F11-CDV,F12-RED,F13-LXD,F14-NMV,F15-NTY
Rose Restaurant,"Great food and great atmosphere! The chicken tikka masala and garlic naan tasted as if they had come straight from India itself. Because I was so pleased with the entre I ended 
up ordering the gulab jamun desert and mango lassi beverage and again I was nothing but pleased! Also the employees and management were all very attentive and they made
sure we had everything we needed from beginning to end. The manager Matt personally came around even to check on our experience!",0,3,4.465909091,1,14.25,17.6,5,88,9,6,0,0.636363636,0.972972973,9.2,0.795180723,0,0
Rose Restaurant,"I had heard good things about Rose Restaurant so I decided to go ahead and give the restaurant a try. The atmosphere was not what I was expecting. Walking through the front door it
felt as if it was a trying way too hard to be modern rather than Indian. The cashier took our orders and was polite, however, when I asked her to make my food mild she must not
have been listening. The food was brought out after waiting for 15 - 20 minutes and it was so spicy I could barely take the flavor of my paneer masala. Overall I was very 
disappointed with my experience.",0,3,3.838983051,1.5,10,19.66666667,6,118,17,8,1,0.545454545,0.976190476,11.16666667,0.752293578,0,0
Rose Restaurant,"I was driving by rose restaurant one day and decided to give it a try during my lunch break. I am not very familiar with Indian food and don't have the option too try it as I was born in 
Lubbock. However, I am glad that I did because now I know that it is not for me. The  tikka kabobs were way to spicy. I don't know if it were a mistake or all there food is that spicy. 
The sides of the rice dish they gave me were also burned on the edges making it hard to even want to eat. I will not be coming to their establishment again.",0,3,3.37704918,1.142857143,8.923076923,17.42857143,7,122,14,5,1,0.375,0.864864865,11,0.675438596,0,0
Rose Restaurant,"Rose Restaurant had the most modern and up-to-date atmosphere of any restaurant period. This was my first time trying Indian food and I was very please with what I got. They did an 
AMAZING job of assimilating Indian and American culture, and the chicken tikka pizza showed just that! I will for sure be returning with friends and family!",0,3,4.044117647,1.75,17.5,17,4,68,6,7,0,0.578947368,0.961538462,8.75,0.819672131,0,0
Gloria Restaurant,"Today is the third time I've come to Gloria Restaurant and I have to say that they have consistently great food. The food tastes like it is straight from India. From the 
fluffy garlic naan to their delicious perfect butter chicken.The service was also so friendly and they constantly were checking on us to make sure that we had everything that we 
needed. 5 stars!!!! I will definitely be coming back.",0,3,4.071428571,1.5,10.7,14,6,84,8,8,0,0.777777778,0.9375,7.166666667,0.786666667,0,0
Gloria Restaurant,"I have been to Gloria Restaurant a couple times but was told to try something else. So I went to Gloria Restaurant to try something new. The servers came to take my order relatively fast and got my food out quickly as well. But the food was decent at best. The bhartiya roti wasn't burnt but was was way to crispy. It felt like I was almost eating a crunchy chip. The food I ordered, which were kabobs, were too salty. The atmosphere was also very cramped looking back. The restaurant was small compared to the others I've been to in Lubbock.",0,3,3.838983051,1.222222222,6.307692308,13.11111111,9,118,13,8,1,0.777777778,0.891304348,6.777777778,0.682242991,0,0
Gloria Restaurant,"Last Saturday I went to this restaurant hoping for a delicious meal at a good Indian restaurant. But me and my family were disappointed. Walking in the restaurant felt like a small and cramped atmosphere. We stayed to give the restaurant a chance and try the food though anyway. However, it turned out my kids didn't even finish their food and my wife and I were disappointed with the biryani dish that we had decided to share. We do not like wasting food but we did not get what we payed for. Stay away from Gloria Restaurant!",0,3,4.018867925,1.142857143,10.76923077,15.14285714,7,106,17,6,0,0.34375,0.829268293,8.142857143,0.704081633,0,1
Gloria Restaurant,"First off, let me say I have never been to the restaurant in person. But from the reviews online I saw that it was not the best dining place. So instead I ordered there food from 
DoorDash. The food arrived but it did not look as appetizing as it looked on the menu. As I had already ordered the food, I decided to give it a try. However, the curry I had ordered 
was not as good as I wanted it to be. The spices were too much and the flavor was off. I'm not very pleased with the food and will be trying a different Indian restaurant in the 
future.",0,3,3.552845528,1.375,9.133333333,15.375,8,123,14,7,0,0.7,0.833333333,9.5,0.616071429,1,0
Jasmin Restaurant,"Jasmin Restaurant is the best Indian food I have EVER had. All the meat is well cut and halal so you know it's of good quality. The Beef Karahi dish was by far my favorite. Not 
too mild and not too spicy. The rice was also of good quality and cooked PERFECTLY. All in all I am very pleased with my visit to Jasmin Restaurant. All those positive reviews 
don't lie! BEST INDIAN FOOD EVER!!",0,3,3.602272727,1.125,8.4,11,8,88,5,10,0,1.4,0.828571429,5.5,0.759493671,0,0
Jasmin Restaurant,"Jasmin Restaurant's motto is ""Where Customer is a King"" turned out to not be so accurate. The food from the advertisements of the restaurant were completely different from 
what we were given. My husband and I decided to visit this restaurant for our Friday night out, but were not impressed with the service at all. After receiving the food (which 
wasn't horrible but not good either) we were barely ever checked on after. It's like once they had gotten our money they stopped caring about us as customers. Not pleased and 
will not be returning.",0,3,4.118181818,1.833333333,8.583333333,18.33333333,6,110,11,6,2,0.583333333,0.944444444,10.5,0.777777778,0,0
